# Period        : 0.649472 days
# IsPeriodic    : True
# Normalization : <g_mag>=0
# Spectrum      : "Flat"; or filename
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
 0.580  1.215  0.128 -0.121 -0.202 -0.221 -0.221
 0.582  1.215  0.128 -0.121 -0.202 -0.221 -0.221
 0.584  1.215  0.129 -0.120 -0.201 -0.220 -0.220
 0.586  1.215  0.129 -0.120 -0.201 -0.220 -0.220
 0.588  1.215  0.129 -0.119 -0.200 -0.220 -0.220
 0.590  1.214  0.130 -0.119 -0.200 -0.220 -0.220
 0.592  1.214  0.130 -0.118 -0.200 -0.219 -0.219
 0.594  1.214  0.131 -0.118 -0.199 -0.219 -0.219
 0.596  1.214  0.131 -0.118 -0.199 -0.219 -0.219
 0.598  1.214  0.131 -0.117 -0.198 -0.219 -0.219
 0.600  1.214  0.131 -0.117 -0.198 -0.219 -0.219
 0.602  1.214  0.132 -0.116 -0.197 -0.218 -0.218
 0.604  1.214  0.132 -0.116 -0.197 -0.218 -0.218
 0.606  1.214  0.132 -0.116 -0.196 -0.218 -0.218
 0.608  1.214  0.132 -0.115 -0.196 -0.217 -0.217
 0.610  1.214  0.132 -0.115 -0.195 -0.217 -0.217
 0.612  1.214  0.132 -0.114 -0.195 -0.217 -0.217
 0.614  1.214  0.133 -0.114 -0.194 -0.217 -0.217
 0.616  1.214  0.133 -0.113 -0.194 -0.216 -0.216
 0.618  1.214  0.133 -0.113 -0.193 -0.216 -0.216
 0.620  1.214  0.133 -0.113 -0.193 -0.216 -0.216
 0.622  1.214  0.133 -0.112 -0.192 -0.216 -0.216
 0.624  1.214  0.133 -0.112 -0.192 -0.216 -0.216
 0.626  1.214  0.133 -0.112 -0.191 -0.215 -0.215
 0.628  1.214  0.134 -0.111 -0.191 -0.215 -0.215
 0.630  1.214  0.134 -0.111 -0.190 -0.215 -0.215
 0.632  1.214  0.134 -0.110 -0.190 -0.214 -0.214
 0.634  1.214  0.134 -0.110 -0.189 -0.214 -0.214
 0.636  1.214  0.134 -0.109 -0.189 -0.214 -0.214
 0.638  1.214  0.134 -0.109 -0.188 -0.214 -0.214
 0.640  1.214  0.134 -0.109 -0.188 -0.213 -0.213
 0.642  1.214  0.134 -0.108 -0.187 -0.213 -0.213
 0.644  1.214  0.134 -0.108 -0.187 -0.213 -0.213
 0.646  1.214  0.134 -0.107 -0.186 -0.213 -0.213
 0.648  1.214  0.134 -0.107 -0.186 -0.212 -0.212
 0.650  1.214  0.134 -0.107 -0.185 -0.212 -0.212
 0.652  1.215  0.134 -0.106 -0.185 -0.212 -0.212
 0.654  1.215  0.134 -0.106 -0.185 -0.212 -0.212
 0.656  1.215  0.135 -0.105 -0.184 -0.211 -0.211
 0.658  1.215  0.135 -0.105 -0.184 -0.211 -0.211
 0.660  1.215  0.135 -0.104 -0.183 -0.211 -0.211
 0.662  1.215  0.135 -0.104 -0.183 -0.211 -0.211
 0.664  1.215  0.135 -0.103 -0.182 -0.210 -0.210
 0.666  1.215  0.135 -0.103 -0.182 -0.210 -0.210
 0.668  1.215  0.136 -0.102 -0.182 -0.210 -0.210
 0.670  1.216  0.136 -0.102 -0.181 -0.210 -0.210
 0.672  1.216  0.136 -0.101 -0.181 -0.209 -0.209
 0.674  1.216  0.136 -0.100 -0.181 -0.209 -0.209
 0.676  1.216  0.137 -0.100 -0.180 -0.209 -0.209
 0.678  1.216  0.137 -0.099 -0.180 -0.208 -0.208
 0.680  1.217  0.138 -0.099 -0.179 -0.208 -0.208
 0.682  1.217  0.138 -0.098 -0.179 -0.208 -0.208
 0.684  1.217  0.139 -0.097 -0.179 -0.207 -0.207
 0.686  1.217  0.139 -0.097 -0.178 -0.207 -0.207
 0.688  1.217  0.139 -0.096 -0.178 -0.207 -0.207
 0.690  1.217  0.140 -0.095 -0.178 -0.207 -0.207
 0.692  1.218  0.141 -0.094 -0.177 -0.206 -0.206
 0.694  1.218  0.141 -0.094 -0.177 -0.206 -0.206
 0.696  1.218  0.142 -0.093 -0.176 -0.206 -0.206
 0.698  1.218  0.142 -0.092 -0.176 -0.206 -0.206
 0.700  1.218  0.143 -0.092 -0.176 -0.205 -0.205
 0.702  1.219  0.144 -0.091 -0.175 -0.205 -0.205
 0.704  1.219  0.145 -0.090 -0.175 -0.204 -0.204
 0.706  1.219  0.145 -0.089 -0.175 -0.204 -0.204
 0.708  1.220  0.146 -0.088 -0.174 -0.204 -0.204
 0.710  1.220  0.147 -0.087 -0.174 -0.204 -0.204
 0.712  1.220  0.148 -0.086 -0.173 -0.203 -0.203
 0.714  1.220  0.149 -0.086 -0.173 -0.203 -0.203
 0.716  1.220  0.149 -0.085 -0.172 -0.203 -0.203
 0.718  1.221  0.151 -0.084 -0.172 -0.202 -0.202
 0.720  1.221  0.151 -0.083 -0.171 -0.202 -0.202
 0.722  1.221  0.152 -0.083 -0.171 -0.202 -0.202
 0.724  1.221  0.153 -0.082 -0.170 -0.201 -0.201
 0.726  1.222  0.154 -0.081 -0.170 -0.201 -0.201
 0.728  1.222  0.154 -0.081 -0.169 -0.201 -0.201
 0.730  1.223  0.155 -0.081 -0.169 -0.200 -0.200
 0.732  1.223  0.155 -0.080 -0.168 -0.200 -0.200
 0.734  1.224  0.155 -0.080 -0.167 -0.200 -0.200
 0.736  1.224  0.155 -0.080 -0.167 -0.199 -0.199
 0.738  1.225  0.156 -0.080 -0.166 -0.199 -0.199
 0.740  1.225  0.156 -0.080 -0.166 -0.198 -0.198
 0.742  1.226  0.156 -0.080 -0.165 -0.198 -0.198
 0.744  1.227  0.156 -0.080 -0.164 -0.198 -0.198
 0.746  1.228  0.155 -0.081 -0.164 -0.197 -0.197
 0.748  1.228  0.155 -0.081 -0.163 -0.197 -0.197
 0.750  1.229  0.155 -0.081 -0.162 -0.196 -0.196
 0.752  1.230  0.154 -0.082 -0.161 -0.196 -0.196
 0.754  1.231  0.154 -0.083 -0.161 -0.195 -0.195
 0.756  1.231  0.153 -0.083 -0.160 -0.195 -0.195
 0.758  1.232  0.152 -0.084 -0.159 -0.195 -0.195
 0.760  1.233  0.152 -0.085 -0.158 -0.194 -0.194
 0.762  1.234  0.151 -0.086 -0.158 -0.194 -0.194
 0.764  1.235  0.150 -0.087 -0.157 -0.193 -0.193
 0.766  1.236  0.149 -0.088 -0.157 -0.193 -0.193
 0.768  1.237  0.148 -0.089 -0.156 -0.192 -0.192
 0.770  1.239  0.147 -0.090 -0.156 -0.192 -0.192
 0.772  1.240  0.146 -0.092 -0.155 -0.191 -0.191
 0.774  1.241  0.145 -0.093 -0.155 -0.191 -0.191
 0.776  1.242  0.143 -0.095 -0.155 -0.190 -0.190
 0.778  1.244  0.142 -0.096 -0.155 -0.189 -0.189
 0.780  1.245  0.140 -0.098 -0.155 -0.189 -0.189
 0.782  1.247  0.138 -0.100 -0.156 -0.188 -0.188
 0.784  1.248  0.137 -0.102 -0.156 -0.188 -0.188
 0.786  1.249  0.135 -0.103 -0.157 -0.187 -0.187
 0.788  1.250  0.133 -0.105 -0.157 -0.186 -0.186
 0.790  1.252  0.131 -0.108 -0.158 -0.186 -0.186
 0.792  1.253  0.129 -0.110 -0.159 -0.185 -0.185
 0.794  1.254  0.127 -0.112 -0.160 -0.185 -0.185
 0.796  1.255  0.125 -0.114 -0.161 -0.184 -0.184
 0.798  1.256  0.122 -0.116 -0.162 -0.183 -0.183
 0.800  1.257  0.119 -0.119 -0.163 -0.183 -0.183
 0.802  1.257  0.117 -0.121 -0.164 -0.182 -0.182
 0.804  1.258  0.114 -0.124 -0.166 -0.182 -0.182
 0.806  1.258  0.112 -0.126 -0.167 -0.181 -0.181
 0.808  1.259  0.109 -0.129 -0.169 -0.181 -0.181
